SG_UF,DT_SIN_PRI,count
AC,2020-01-02,1
AC,2020-01-04,1
AC,2020-01-07,1
AC,2020-01-08,1
AC,2020-01-10,1
AC,2020-01-14,1
AC,2020-01-16,2
AC,2020-01-19,1
AC,2020-01-21,1
AC,2020-01-26,1
AC,2020-01-30,1
AC,2020-02-01,2
AC,2020-02-04,2
AC,2020-02-06,1
AC,2020-02-07,1
AC,2020-02-08,1
AC,2020-02-13,1
AC,2020-02-14,2
AC,2020-02-18,2
AC,2020-02-20,1
AC,2020-02-21,1
AC,2020-02-22,1
AC,2020-02-25,2
AC,2020-02-29,2
AC,2020-03-03,2
AC,2020-03-05,2
AC,2020-03-06,1
AC,2020-03-07,2
AC,2020-03-09,2
AC,2020-03-12,1
AC,2020-03-13,4
AC,2020-03-15,2
AC,2020-03-17,3
AC,2020-03-20,4
AC,2020-03-21,3
AC,2020-03-22,6
AC,2020-03-23,2
AC,2020-03-24,4
AC,2020-03-25,4
AC,2020-03-27,4
AC,2020-03-28,5
AC,2020-04-01,9
AC,2020-04-02,4
AC,2020-04-03,8
AC,2020-04-04,5
AC,2020-04-05,6
AC,2020-04-06,5
AC,2020-04-07,10
AC,2020-04-08,11
AC,2020-04-09,12
AC,2020-04-11,10
AC,2020-04-12,9
AC,2020-04-13,17
AC,2020-04-14,5
AC,2020-04-15,14
AC,2020-04-16,16
AC,2020-04-18,13
AC,2020-04-20,17
AC,2020-04-23,10
AC,2020-04-24,22
AC,2020-04-25,19
AC,2020-04-26,9
AC,2020-04-27,6
AC,2020-04-28,10
AC,2020-04-30,16
AC,2020-05-01,29
AC,2020-05-02,14
AC,2020-05-03,13
AC,2020-05-04,13
AC,2020-05-05,15
AC,2020-05-07,13
AC,2020-05-08,24
AC,2020-05-09,14
AC,2020-05-10,30
AC,2020-05-11,25
AC,2020-05-12,14
AC,2020-05-13,19
AC,2020-05-14,30
AC,2020-05-15,25
AC,2020-05-16,18
AC,2020-05-17,17
AC,2020-05-18,21
AC,2020-05-19,14
AC,2020-05-20,22
AC,2020-05-21,13
AL,2020-01-10,1
AL,2020-01-11,1
AL,2020-01-12,2
AL,2020-01-29,2
AL,2020-01-30,2
AL,2020-02-02,2
AL,2020-02-05,1
AL,2020-02-09,1
AL,2020-02-15,3
AL,2020-02-28,2
AL,2020-03-05,1
AL,2020-03-06,1
AL,2020-03-11,1
AL,2020-03-12,2
AL,2020-03-13,2
AL,2020-03-14,5
AL,2020-03-15,7
AL,2020-03-16,8
AL,2020-03-17,4
AL,2020-03-18,5
AL,2020-03-19,2
AL,2020-03-20,11
AL,2020-03-21,3
AL,2020-03-22,6
AL,2020-03-23,7
AL,2020-03-24,3
AL,2020-03-25,8
AL,2020-03-26,3
AL,2020-03-27,4
AL,2020-03-28,5
AL,2020-03-29,7
AL,2020-03-30,3
AL,2020-03-31,10
AL,2020-04-01,5
AL,2020-04-02,3
AL,2020-04-03,18
AL,2020-04-04,5
AL,2020-04-05,14
AL,2020-04-06,13
AL,2020-04-07,12
AL,2020-04-08,12
AL,2020-04-09,17
AL,2020-04-10,18
AL,2020-04-11,16
AL,2020-04-12,16
AL,2020-04-13,24
AL,2020-04-14,24
AL,2020-04-15,32
AL,2020-04-16,19
AL,2020-04-17,35
AL,2020-04-18,29
AL,2020-04-19,24
AL,2020-04-20,63
AL,2020-04-21,24
AL,2020-04-22,47
AL,2020-04-23,38
AL,2020-04-24,46
AL,2020-04-25,59
AL,2020-04-26,47
AL,2020-04-27,41
AL,2020-04-28,62
AL,2020-04-29,52
AL,2020-04-30,56
AL,2020-05-01,127
AL,2020-05-02,84
AL,2020-05-03,74
AL,2020-05-04,76
AL,2020-05-05,92
AL,2020-05-06,102
AL,2020-05-07,96
AL,2020-05-08,86
AL,2020-05-09,95
AL,2020-05-10,134
AL,2020-05-11,106
AL,2020-05-12,84
AL,2020-05-13,76
AL,2020-05-14,116
AL,2020-05-15,133
AL,2020-05-16,97
AL,2020-05-17,80
AL,2020-05-18,106
AL,2020-05-19,89
AL,2020-05-20,145
AL,2020-05-21,86
AL,2020-05-22,103
AL,2020-05-23,83
AL,2020-05-24,84
AL,2020-05-25,106
AL,2020-05-26,115
AL,2020-05-27,82
AL,2020-05-28,77
AL,2020-09-04,28
AM,2019-12-30,1
AM,2019-12-31,2
AM,2020-01-01,5
AM,2020-01-03,2
AM,2020-01-04,3
AM,2020-01-05,6
AM,2020-01-06,5
AM,2020-01-07,2
AM,2020-01-08,2
AM,2020-01-09,4
AM,2020-01-10,3
AM,2020-01-11,4
AM,2020-01-12,4
AM,2020-01-13,4
AM,2020-01-14,2
AM,2020-01-15,8
AM,2020-01-16,1
AM,2020-01-17,3
AM,2020-01-18,2
AM,2020-01-19,5
AM,2020-01-20,4
AM,2020-01-21,2
AM,2020-01-22,4
AM,2020-01-25,1
AM,2020-01-26,3
AM,2020-01-27,3
AM,2020-01-28,5
AM,2020-01-29,6
AM,2020-01-30,4
AM,2020-01-31,2
AM,2020-02-01,2
AM,2020-02-02,1
AM,2020-02-03,4
AM,2020-02-04,2
AM,2020-02-05,4
AM,2020-02-06,7
AM,2020-02-07,3
AM,2020-02-08,2
AM,2020-02-09,4
AM,2020-02-10,4
AM,2020-02-11,3
AM,2020-02-12,3
AM,2020-02-14,8
AM,2020-02-15,4
AM,2020-02-16,4
AM,2020-02-17,8
AM,2020-02-18,4
AM,2020-02-19,5
AM,2020-02-20,5
AM,2020-02-21,5
AM,2020-02-22,7
AM,2020-02-23,5
AM,2020-02-24,4
AM,2020-02-25,4
AM,2020-02-26,5
AM,2020-02-27,2
AM,2020-02-28,8
AM,2020-02-29,9
AM,2020-03-01,7
AM,2020-03-02,5
AM,2020-03-03,2
AM,2020-03-04,3
AM,2020-03-05,3
AM,2020-03-06,5
AM,2020-03-07,5
AM,2020-03-08,6
AM,2020-03-09,10
AM,2020-03-10,5
AM,2020-03-11,6
AM,2020-03-12,13
AM,2020-03-13,10
AM,2020-03-14,10
AM,2020-03-15,14
AM,2020-03-16,23
AM,2020-03-17,17
AM,2020-03-18,21
AM,2020-03-19,19
AM,2020-03-20,65
AM,2020-03-21,29
AM,2020-03-22,26
AM,2020-03-23,40
AM,2020-03-24,48
AM,2020-03-25,73
AM,2020-03-26,55
AM,2020-03-27,55
AM,2020-03-28,57
AM,2020-03-29,68
AM,2020-03-30,62
AM,2020-03-31,68
AM,2020-04-01,148
AM,2020-04-02,91
AM,2020-04-03,112
AM,2020-04-04,128
AM,2020-04-05,130
AM,2020-04-06,158
AM,2020-04-07,124
AM,2020-04-08,155
AM,2020-04-09,155
AM,2020-04-10,272
AM,2020-04-11,151
AM,2020-04-12,191
AM,2020-04-13,178
AM,2020-04-14,188
AM,2020-04-15,241
AM,2020-04-16,205
AM,2020-04-17,195
AM,2020-04-18,198
AM,2020-04-19,196
AM,2020-04-20,385
AM,2020-04-21,181
AM,2020-04-22,182
AM,2020-04-23,196
AM,2020-04-24,201
AM,2020-04-25,219
AM,2020-04-26,183
AM,2020-04-27,207
AM,2020-04-28,211
AM,2020-04-29,133
AM,2020-04-30,230
AM,2020-05-01,362
AM,2020-05-02,225
AM,2020-05-03,162
AM,2020-05-04,148
AM,2020-05-05,204
AM,2020-05-06,117
AM,2020-05-07,136
AM,2020-05-08,175
AM,2020-05-09,145
AM,2020-05-10,286
AM,2020-05-11,115
AM,2020-05-12,142
AM,2020-05-13,104
AM,2020-05-14,117
AM,2020-05-15,200
AM,2020-05-16,96
AM,2020-05-17,108
AM,2020-05-18,128
AM,2020-05-19,95
AM,2020-05-20,221
AM,2020-05-21,71
AM,2020-05-22,81
AM,2020-05-23,68
AM,2020-05-24,77
AM,2020-05-25,142
AM,2020-05-26,66
AM,2020-05-27,67
AM,2020-05-28,109
AM,2020-05-29,86
AM,2020-06-05,113
AM,2020-06-10,128
AM,2020-09-28,83
AM,2020-11-01,117
AP,2020-02-12,1
