date,temperature,state
2019-01-01,26.53,AM
2019-01-02,26.69,AM
2019-01-03,26.67,AM
2019-01-04,26.79,AM
2019-01-05,26.74,AM
2019-01-06,25.95,AM
2019-01-07,25.4,AM
2019-01-08,25.27,AM
2019-01-09,25.09,AM
2019-01-10,24.83,AM
2019-01-11,25.17,AM
2019-01-12,25.68,AM
2019-01-13,25.97,AM
2019-01-14,25.2,AM
2019-01-15,26.23,AM
2019-01-16,26.29,AM
2019-01-17,26.12,AM
2019-01-18,26.3,AM
2019-01-19,25.94,AM
2019-01-20,26.19,AM
2019-01-21,25.94,AM
2019-01-22,26.42,AM
2019-01-23,25.92,AM
2019-01-24,26.34,AM
2019-01-25,26.47,AM
2019-01-26,26.46,AM
2019-01-27,26.75,AM
2019-01-28,26.77,AM
2019-01-29,26.7,AM
2019-01-30,26.04,AM
2019-01-31,26.35,AM
2019-02-01,26.43,AM
2019-02-02,26.48,AM
2019-02-03,25.72,AM
2019-02-04,26.36,AM
2019-02-05,25.97,AM
2019-02-06,26.38,AM
2019-02-07,26.75,AM
2019-02-08,26.47,AM
2019-02-09,26.08,AM
2019-02-10,25.66,AM
2019-02-11,26.18,AM
2019-02-12,26.42,AM
2019-02-13,26.15,AM
2019-02-14,26.34,AM
2019-02-15,26.6,AM
2019-02-16,26.79,AM
2019-02-17,27.26,AM
2019-02-18,26.54,AM
2019-02-19,25.93,AM
2019-02-20,25.92,AM
2019-02-21,26.01,AM
2019-02-22,26.2,AM
2019-02-23,26.02,AM
2019-02-24,26.37,AM
2019-02-25,26.25,AM
2019-02-26,26.25,AM
2019-02-27,26.16,AM
2019-02-28,25.58,AM
2019-03-01,26.17,AM
2019-03-02,26.78,AM
2019-03-03,26.74,AM
2019-03-04,27.1,AM
2019-03-05,26.72,AM
2019-03-06,26.96,AM
2019-03-07,26.92,AM
2019-03-08,26.65,AM
2019-03-09,26.62,AM
2019-03-10,26.36,AM
2019-03-11,25.67,AM
2019-03-12,25.57,AM
2019-03-13,26.53,AM
2019-03-14,26.83,AM
2019-03-15,26.4,AM
2019-03-16,26.58,AM
2019-03-17,26.84,AM
2019-03-18,27.2,AM
2019-03-19,27.26,AM
2019-03-20,26.69,AM
2019-03-21,26.38,AM
2019-03-22,26.41,AM
2019-03-23,26.6,AM
2019-03-24,27.32,AM
2019-03-25,26.65,AM
2019-03-26,26.98,AM
2019-03-27,26.93,AM
2019-03-28,27.39,AM
2019-03-29,26.33,AM
2019-03-30,26.58,AM
2019-03-31,26.5,AM
2019-04-01,27.26,AM
2019-04-02,27.05,AM
2019-04-03,26.66,AM
2019-04-04,25.83,AM
2019-04-05,26.55,AM
2019-04-06,27.14,AM
2019-04-07,25.87,AM
2019-04-08,26.13,AM
2019-04-09,25.78,AM
2019-04-10,26.26,AM
2019-04-11,26.83,AM
2019-04-12,26.39,AM
2019-04-13,26.73,AM
2019-04-14,26.83,AM
2019-04-15,25.98,AM
2019-04-16,26.59,AM
2019-04-17,26.4,AM
2019-04-18,27.11,AM
2019-04-19,26.34,AM
2019-04-20,26.43,AM
2019-04-21,26.28,AM
2019-04-22,26.57,AM
2019-04-23,26.33,AM
2019-04-24,26.28,AM
2019-04-25,26.77,AM
2019-04-26,26.61,AM
2019-04-27,26.11,AM
2019-04-28,26.63,AM
2019-04-29,26.04,AM
2019-04-30,26.11,AM
2019-05-01,26.29,AM
2019-05-02,26.68,AM
2019-05-03,26.23,AM
2019-05-04,26.98,AM
2019-05-05,27.21,AM
2019-05-06,27.27,AM
2019-05-07,27.14,AM
2019-05-08,26.84,AM
2019-05-09,26.91,AM
2019-05-10,26.42,AM
2019-05-11,25.65,AM
2019-05-12,25.5,AM
2019-05-13,25.92,AM
2019-05-14,25.5,AM
2019-05-15,25.48,AM
2019-05-16,26.0,AM
2019-05-17,25.52,AM
2019-05-18,26.4,AM
2019-05-19,25.85,AM
2019-05-20,25.6,AM
2019-05-21,26.41,AM
2019-05-22,26.59,AM
2019-05-23,26.29,AM
2019-05-24,26.22,AM
2019-05-25,26.59,AM
2019-05-26,27.04,AM
2019-05-27,26.64,AM
2019-05-28,26.62,AM
2019-05-29,26.43,AM
2019-05-30,26.51,AM
2019-05-31,26.0,AM
2019-06-01,26.37,AM
2019-06-02,26.01,AM
2019-06-03,26.06,AM
2019-06-04,26.53,AM
2019-06-05,26.29,AM
2019-06-06,26.25,AM
2019-06-07,26.73,AM
2019-06-08,25.94,AM
2019-06-09,26.26,AM
2019-06-10,26.76,AM
2019-06-11,27.1,AM
2019-06-12,26.64,AM
2019-06-13,26.59,AM
2019-06-14,26.67,AM
2019-06-15,26.58,AM
2019-06-16,25.94,AM
2019-06-17,26.37,AM
2019-06-18,26.65,AM
2019-06-19,26.81,AM
2019-06-20,26.66,AM
2019-06-21,26.43,AM
2019-06-22,26.25,AM
2019-06-23,26.38,AM
2019-06-24,26.3,AM
2019-06-25,26.44,AM
2019-06-26,25.61,AM
2019-06-27,26.43,AM
2019-06-28,26.65,AM
2019-06-29,27.02,AM
2019-06-30,27.21,AM
2019-07-01,27.12,AM
2019-07-02,26.79,AM
2019-07-03,26.2,AM
2019-07-04,26.21,AM
2019-07-05,26.63,AM
2019-07-06,26.1,AM
2019-07-07,25.59,AM
2019-07-08,25.68,AM
2019-07-09,25.54,AM
2019-07-10,25.97,AM
2019-07-11,26.18,AM
2019-07-12,26.51,AM
2019-07-13,26.38,AM
2019-07-14,26.4,AM
2019-07-15,26.22,AM
2019-07-16,26.61,AM
2019-07-17,26.35,AM
2019-07-18,26.16,AM
2019-07-19,26.55,AM
2019-07-20,25.91,AM
2019-07-21,26.32,AM
2019-07-22,26.54,AM
2019-07-23,26.56,AM
2019-07-24,26.59,AM
2019-07-25,26.88,AM
