UF,total_beds,sus_beds,total_uti,sus_uti
AC,19318,17369,926,708
AL,74831,60970,5473,3512
AM,78214,65819,6376,3829
AP,15150,12726,1123,444
BA,366995,289297,25068,13192
CE,235393,183141,15091,8627
DF,102231,55203,14699,3435
ES,105655,69813,13498,5819
GO,223551,135913,17204,8901
MA,175134,152681,9546,5176
MG,536741,362887,52634,33990
MS,72828,47097,6106,3423
MT,98996,67984,10658,3613
PA,189652,135659,12780,6510
PB,105996,84945,7918,5062
PE,275219,207972,23109,12795
PI,92276,79378,4426,2352
PR,362907,250808,34650,21792
RJ,527170,289258,75306,20145
RN,92543,76412,7220,3907
RO,57383,43989,4158,2495
RR,13807,12918,576,420
RS,394869,269371,28857,18362
SC,198441,143676,14368,9196
SE,41735,31092,4112,2760
SP,1234744,704949,147136,65100
TO,40260,30407,2890,1704
