UF,total_beds,sus_beds,total_uti,sus_uti,idhm_mean,mean_temperature,population,incidence_rate,cases,vac_influenza,vac_pneumo,mobility_change,forest_cover_pct,burning_events,air_quality_index,average_income,education_years,gini_index,beds_per_100k
AC,19318,17369,926,708,0.7483840390591607,26.993428306022466,1931800,35.48478828225177,685,71.6,69.8,0.5,70.4,17875,113.9,1404.0,6.5,0.564,1000.0
AL,74831,60970,5473,3512,0.7201269748113179,24.72347139765763,7483100,43.96190755660461,3289,93.7,71.7,-2.7,61.7,11849,146.8,1692.0,8.3,0.646,1000.0
AM,78214,65819,6376,3829,0.6642963757293733,27.295377076201383,7821400,60.711087281188,4748,94.1,68.1,6.1,73.6,1836,175.2,3041.0,8.1,0.465,1000.0
AP,15150,12726,1123,444,0.6080991770597916,29.04605971281605,1515000,77.57024688206252,1175,90.2,84.9,-8.5,70.2,17282,82.0,3509.0,9.1,0.511,1000.0
BA,366995,289297,25068,13192,0.5970200637750807,24.531693250553328,36699500,80.89398086747579,29687,77.6,70.7,-20.8,39.3,4937,63.5,3540.0,6.0,0.488,1000.0
CE,235393,183141,15091,8627,0.5928449017603157,24.53172608610164,23539300,82.14652947190528,19336,72.4,68.4,-0.0,74.6,14755,149.5,2094.0,8.7,0.504,1000.0
DF,102231,55203,14699,3435,0.6193704965000699,27.158425631014783,10223100,74.18885104997901,7584,87.1,76.3,1.6,57.0,14077,166.7,3641.0,11.8,0.547,1000.0
ES,105655,69813,13498,5819,0.7557474298647897,24.534869458305817,10565500,33.27577104056307,3515,81.0,64.2,-5.4,70.4,1054,86.0,3523.0,7.9,0.525,1000.0
GO,223551,135913,17204,8901,0.6255572213714767,23.061051228130097,22355100,72.33283358855697,16170,73.1,84.1,2.0,74.8,6055,41.8,3794.0,11.2,0.529,1000.0
MA,175134,152681,9546,5176,0.661126180357999,26.08512008717193,17513400,61.66214589260029,10799,82.4,62.2,-7.7,45.9,7592,189.6,3313.0,7.5,0.619,1000.0
MG,536741,362887,52634,33990,0.5533480202514967,22.073164614375074,53674100,93.99559392455099,50451,70.9,89.6,-6.7,35.5,14149,94.6,2941.0,6.8,0.636,1000.0
MS,72828,47097,6106,3423,0.6216429904988091,23.068540492859487,7282800,73.50710285035726,5353,92.7,83.2,-10.0,41.4,18291,115.6,2658.0,9.2,0.464,1000.0
MT,98996,67984,10658,3613,0.5694534337164932,24.48392454313207,9899600,89.16396988505204,8826,76.5,66.0,-24.1,51.4,5991,171.6,1991.0,9.4,0.492,1000.0
PA,189652,135659,12780,6510,0.8036399574603138,22.173439510684403,18965200,18.908012761905844,3585,86.6,60.2,-21.2,70.9,5131,143.2,3808.0,10.9,0.584,1000.0
PB,105996,84945,7918,5062,0.7056321223002378,21.550164334973935,10599600,48.31036330992866,5120,77.8,84.5,-23.9,73.0,402,153.7,3916.0,5.8,0.522,1000.0
PE,275219,207972,23109,12795,0.7372679955382089,23.875424941518055,27521900,38.819601338537325,10683,83.0,81.2,-2.7,30.3,11647,61.6,1709.0,8.0,0.501,1000.0
PI,92276,79378,4426,2352,0.6619522588815212,22.974337759331153,9227600,61.41432233554362,5667,83.7,81.9,-14.0,55.5,12888,119.8,1777.0,8.6,0.509,1000.0
PR,362907,250808,34650,21792,0.7391163167570205,20.628494665190548,36290700,38.26510497289384,13886,74.6,83.1,-7.2,50.9,4589,146.8,2354.0,10.1,0.515,1000.0
RJ,527170,289258,75306,20145,0.8210331321660094,21.183951848957577,52717000,13.690060350197172,7216,94.2,62.2,6.8,41.1,2527,65.0,2235.0,4.3,0.62,1000.0
RN,92543,76412,7220,3907,0.7260433123883341,22.175392597329417,9254300,42.18700628349976,3904,89.4,70.8,-16.3,36.0,8204,55.6,3982.0,12.0,0.477,1000.0
RO,57383,43989,4158,2495,0.8274659272512676,28.931297537843108,5738300,11.76022182461972,674,93.5,63.5,-10.6,46.9,19515,196.9,1363.0,7.8,0.592,1000.0
RR,13807,12918,576,420,0.7291904357408091,25.54844739902693,1380700,41.24286927775725,569,92.4,85.9,1.4,77.1,7977,115.4,858.0,6.2,0.561,1000.0
RS,394869,269371,28857,18362,0.8485693291402328,20.13505640937585,39486900,5.42920125793016,2143,84.9,78.7,-17.0,46.2,397,70.6,2380.0,11.1,0.509,1000.0
SC,198441,143676,14368,9196,0.6290360068852282,17.150503627573087,19844100,71.28919793443153,14146,93.0,69.9,-22.3,55.9,2130,199.3,1372.0,10.0,0.534,1000.0
SE,41735,31092,4112,2760,0.7192305747490035,23.911234550949636,4173500,44.230827575298925,1845,72.2,61.9,-14.9,65.2,11974,193.9,1973.0,11.6,0.501,1000.0
SP,1234744,704949,147136,65100,0.6019083861895862,23.22184517941973,123474400,79.42748414312413,98072,74.9,69.3,-19.4,48.2,15287,122.7,3181.0,6.6,0.572,1000.0
TO,40260,30407,2890,1704,0.7201655066469247,23.698012845155393,4026000,43.95034800592258,1769,71.1,69.8,7.5,78.6,9539,179.5,3107.0,8.4,0.466,1000.0
